nm0472710 - David Krumholtz      - https://www.imdb.com/name/nm0472710
nm0479471 - Shia LaBeouf         - https://www.imdb.com/name/nm0479471
nm0488953 - Brie Larson          - https://www.imdb.com/name/nm0488953
nm0508356 - Bingbing Li          - https://www.imdb.com/name/nm0508356
nm0515116 - Blake Lively         - https://www.imdb.com/name/nm0515116
nm0517820 - Lindsay Lohan        - https://www.imdb.com/name/nm0517820
nm0531808 - Kelly Macdonald      - https://www.imdb.com/name/nm0531808
nm0532193 - Matthew Macfadyen    - https://www.imdb.com/name/nm0532193
nm0532683 - Gabriel Macht        - https://www.imdb.com/name/nm0532683
nm0534635 - Richard Madden       - https://www.imdb.com/name/nm0534635
nm0540441 - Jena Malone          - https://www.imdb.com/name/nm0540441
nm0542133 - Joe Manganiello      - https://www.imdb.com/name/nm0542133
nm0544718 - Kate Mara            - https://www.imdb.com/name/nm0544718
nm0546797 - Mark Margolis        - https://www.imdb.com/name/nm0546797
nm0556453 - Neil Maskell         - https://www.imdb.com/name/nm0556453
nm0562003 - Jodhi May            - https://www.imdb.com/name/nm0562003
nm0564215 - James McAvoy         - https://www.imdb.com/name/nm0564215
nm0564402 - Simon McBurney       - https://www.imdb.com/name/nm0564402
nm0565250 - Melissa McCarthy     - https://www.imdb.com/name/nm0565250
nm0567031 - Helen McCrory        - https://www.imdb.com/name/nm0567031
nm0568180 - Neal McDonough       - https://www.imdb.com/name/nm0568180
nm0571952 - Kate McKinnon        - https://www.imdb.com/name/nm0571952
nm0574534 - Ian McShane          - https://www.imdb.com/name/nm0574534
nm0574615 - Graham McTavish      - https://www.imdb.com/name/nm0574615
